,Title_Review,Stars,Company_name,Recommend,CEO_approval,Business_outlook,Pros,Cons,Employee_seniority,Location,Date,id
3028,"['great', 'company', 'work']",5.0,['amazon'],['neutral'],['neutral'],['neutral'],"['lot', 'opportunity', 'benefit']","['really', 'good', 'company', 'work']","['current', 'employee', 'less', '1', 'year']",['nan'],"['jan.', '10', '2023']",empReview_72480313
3029,"['top', 'notch', 'company']",5.0,['amazon'],['positive'],['neutral'],['neutral'],"['-very', 'talented', 'co-worker', 'drive', 'company', 'culture', 'leadership', 'principle', 'remain', 'ingrained', 'useful', 'next', 'career', 'step', 'plentiful', 'opportunity', 'move', 'abroad', 'change', 'role', 'industry']","['demand', 'company', 'bad', 'press', 'due', 'medium', 'pressure', 'sustainability', 'great', 'concern']","['former', 'employee', '5', 'year']","['manager', 'paris']","['jan.', '10', '2023']",empReview_72480746
3030,"['amaze', 'company', 'work']",5.0,['amazon'],['positive'],['positive'],['positive'],"['colleague', 'always', 'willing', 'assist']","['time', 'management', 'imperative']","['current', 'employee', 'less', '1', 'year']","['manager', 'dubai']","['jan.', '10', '2023']",empReview_72481610
3031,"['great', 'manager', 'recruit', 'experience']",5.0,['amazon'],['positive'],['neutral'],['positive'],"['earth', 'manager', 'make', 'work', 'great', ""'s"", 'far', 'cry', 'banking', 'finance', 'formerly']","['large', 'organization', 'make', 'long', 'ramp', 'become', 'value', 'add', 'far', ""'s"", 'fun', 'experience', 'get']","['current', 'employee']",['nan'],"['jan.', '10', '2023']",empReview_72481926
3032,['engineering'],5.0,['amazon'],['positive'],['positive'],['positive'],"['awesome', 'pay', 'experience', 'training']","['con', 'atm', 'list']","['current', 'employee', '1', 'year']",['nan'],"['jan.', '10', '2023']",empReview_72481958
3033,"['great', 'company', 'start']",5.0,['amazon'],['positive'],['positive'],['positive'],"['management', 'salary', 'leave', 'policy', 'work', 'culture', 'flexibility']","['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","['current', 'employee', '3', 'year']","['sd', 'calcutta']","['jan.', '10', '2023']",empReview_72482054
3034,['great'],5.0,['amazon'],['positive'],['positive'],['positive'],"['awesome', 'company', 'work']","['work', 'life', 'balance', 'competition']","['current', 'employee']",['nan'],"['jan.', '10', '2023']",empReview_72484805
3035,"['amaze', 'place', 'work']",5.0,['amazon'],['neutral'],['neutral'],['neutral'],"['great', 'environment', 'salary', 'leaf', 'etc']","['nothing', 'less', 'growth', 'opportunity']","['former', 'employee']",['nan'],"['jan.', '10', '2023']",empReview_72485796
3036,"['intern', 'review']",5.0,['amazon'],['neutral'],['neutral'],['neutral'],"['great', 'team', 'new', 'tech', 'steep', 'learning', 'curve']","['bit', 'long', 'working', 'hour', 'towards', 'end', 'internship', 'deadline']","['former', 'employee', 'less', '1', 'year']",['nan'],"['jan.', '10', '2023']",empReview_72488121
3037,"['high', 'pay', 'wfh', 'constant', 'change', 'layoff']",2.0,['amazon'],['negative'],['negative'],['negative'],"['high', 'pay', 'wfh', 'talented', 'team', 'member']","['constant', 'change', 'project', 'leadership', 'lack', 'long', 'term', 'think', 'ownership', 'layoff']","['current', 'employee', 'less', '1', 'year']",['nan'],"['jan.', '24', '2023']",empReview_72944809
3038,"['good', 'team', 'unclear', 'vision']",2.0,['amazon'],['negative'],['negative'],['negative'],"['lot', 'scope', 'learn', 'work', 'large', 'data', 'work', 'complex', 'problem']","['lack', 'clear', 'leadership', 'vision', 'project', 'change', 'direction', 'catch', 'team', 'surprise']","['former', 'employee']",['nan'],"['jan.', '24', '2023']",empReview_72945634
3039,"['good', 'stability']",2.0,['amazon'],['negative'],['negative'],['negative'],"['work', 'culture', 'good', 'management']","['stagger', 'word', 'daily', 'basis']","['current', 'employee', '1', 'year']","['dublin', 'dublin']","['jan.', '24', '2023']",empReview_72946164
3040,"['good', 'stability']",2.0,['amazon'],['negative'],['negative'],['negative'],"['work', 'culture', 'good', 'management']","['stagger', 'word', 'daily', 'basis']","['current', 'employee', '1', 'year']","['dublin', 'dublin']","['jan.', '24', '2023']",empReview_72946164
3041,"['mental', 'health', 'consider']",2.0,['amazon'],['negative'],['error'],['error'],"['decent', 'pay', 'good', 'benefit']","['company', 'truly', 'care', 'mental', 'well', 'suffer', 'hbp', 'mental', 'disorder', 'work']","['former', 'employee']",['nan'],"['jan.', '24', '2023']",empReview_72947047
3042,['great'],2.0,['amazon'],['negative'],['error'],['negative'],"['good', 'pay', 'benefit', 'right', 'start']","['long', 'hour', 'high', 'work', 'tempo']","['former', 'employee', 'less', '1', 'year']","['denver', 'co']","['jan.', '24', '2023']",empReview_72957338
3043,"['former', 'driver']",2.0,['amazon'],['neutral'],['neutral'],['neutral'],"['micro', 'manage', 'work', '4', 'day', 'week', 'full', 'time']","['pack', 'van', '300', 'box']","['former', 'employee']","['riverside', 'ca']","['jan.', '24', '2023']",empReview_72960627
3044,"['soulless', 'bloody', 'enterprise']",2.0,['amazon'],['negative'],['negative'],['neutral'],"['claim', 'amazon', 'way', 'leadership', 'principle', 'lot', 'ppl', 'l5', 'try', 'follow']","['management', 'live', 'world', 'nobody', 'care', 'leadership', 'principle']","['current', 'employee']",['boston'],"['jan.', '24', '2023']",empReview_72962489
3045,"['enter', 'risk']",2.0,['amazon'],['negative'],['negative'],['error'],"['hire', 'anyone']","['lack', 'organization', 'management']","['former', 'employee', 'less', '1', 'year']","['city', 'ut']","['jan.', '25', '2023']",empReview_72971634
3046,['amazon'],2.0,['amazon'],['neutral'],['neutral'],['neutral'],"['great', 'stable', 'company', 'work']","['lot', 'opportunity', 'growth', 'promotion']","['current', 'employee']","['london', 'england']","['jan.', '25', '2023']",empReview_72979996
