id,current_employee,Pros_Dominant_Topic,Pros_Topic_Perc_Contrib,Pros_Keywords,Cons_Dominant_Topic,Cons_Topic_Perc_Contrib,Cons_Keywords
empReview_53966067,former employee,1,0.547,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",0,0.4419,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_52914148,current employee,0,0.6349,"good, work, great, pay, benefit, time, job, environment, day, salary",2,0.6835,"n't, con, job, manager, amazon, employee, like, make, people, many"
empReview_52157124,former employee,0,0.9229,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.8953,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_52171107,current employee,0,0.9261,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.6445,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_52192147,current employee,1,0.8422,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",0,0.8953,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_52891637,current employee,0,0.9069,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.6262,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_52169390,current employee,1,0.6619,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",0,0.4953,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_51969799,current employee,1,0.8721,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",2,0.6434,"n't, con, job, manager, amazon, employee, like, make, people, many"
empReview_50353738,former employee,0,0.9467,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.9346,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_50362874,current employee,0,0.9291,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.872,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_50962395,current employee,0,0.8673,"good, work, great, pay, benefit, time, job, environment, day, salary",1,0.7825,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_50964722,current employee,0,0.5701,"good, work, great, pay, benefit, time, job, environment, day, salary",2,0.586,"n't, con, job, manager, amazon, employee, like, make, people, many"
empReview_50322719,current employee,0,0.6821,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.8953,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_50934607,current employee,0,0.6004,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.4517,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_50982036,current employee,1,0.5922,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",1,0.6606,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_50898087,current employee,0,0.8277,"good, work, great, pay, benefit, time, job, environment, day, salary",2,0.6336,"n't, con, job, manager, amazon, employee, like, make, people, many"
empReview_50223277,current employee,1,0.5324,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",0,0.8179,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_48458684,current employee,0,0.9626,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.4954,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_48466541,current employee,0,0.9459,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.9232,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_48257686,former employee,0,0.9131,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.6137,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_48437006,current employee,0,0.6272,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.5097,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_48464737,current employee,0,0.8778,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.4269,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_48399845,current employee,0,0.918,"good, work, great, pay, benefit, time, job, environment, day, salary",1,0.6005,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_48429795,current employee,1,0.5082,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",0,0.7195,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_49163922,current employee,0,0.9327,"good, work, great, pay, benefit, time, job, environment, day, salary",1,0.5857,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_49179399,current employee,0,0.5262,"good, work, great, pay, benefit, time, job, environment, day, salary",1,0.5755,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_49187894,former employee,0,0.9157,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.9128,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_47746020,current employee,1,0.7562,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",0,0.3683,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_47747623,current employee,1,0.5616,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",0,0.4951,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_47767697,current employee,1,0.5008,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",0,0.8952,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_47777867,current employee,0,0.9067,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.9252,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_49457566,current employee,0,0.5012,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.5642,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_48453492,former employee,0,0.9456,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.5032,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_47764661,current employee,0,0.9207,"good, work, great, pay, benefit, time, job, environment, day, salary",2,0.5557,"n't, con, job, manager, amazon, employee, like, make, people, many"
